Date,Spread,ZScore,Signal,PositionSize,Exposure,PnL,Capital,Event
2015-02-19,-19.843462362236075,-0.41514825707126873,1.0,0.23004782440281124,0.23004782440281124,-0.02028884923244148,999995.7919628606,
2015-02-20,-20.393427134580357,-0.7423341025425982,1.0,0.41643011467271934,0.41643011467271934,-0.1267977728113943,999995.6651650878,
2015-02-23,-20.360362251374262,-0.7433315432767101,1.0,0.42142034431064446,0.42142034431064446,0.013761727760697102,999995.6789268155,
2015-02-24,-20.436403014871367,-0.8334441037296898,1.0,0.48568614745689176,0.48568614745689176,-0.03214152343931345,999995.6467852921,
2015-02-25,-20.254954185611375,-0.8031859035966263,1.0,0.4908475406222845,0.4908475406222845,0.08811944075410068,999995.7349047328,
2015-02-26,-19.89682424774434,-0.6710825297700888,1.0,0.4350091812315461,0.4350091812315461,0.17570344168615895,999995.9106081745,
2015-02-27,-20.081423708959832,-0.7117502552676078,1.0,0.4835180695724924,0.4835180695724924,-0.08037522381164675,999995.8302329507,
2015-03-02,-19.8176341951089,-0.4974251306433021,1.0,0.47101655248008945,0.47101655248008945,0.12752824423502968,999995.957761195,
2015-03-03,-18.87549202096399,0.5621899184165002,1.0,0.6169934031416374,0.6169934031416374,0.44354559353584033,999996.4013067886,
2015-03-04,-18.517866996387824,1.0432320210402495,1.0,1.2062937102106879,1.2062937102106879,0.21976833050125658,999996.621075119,
2015-03-05,-18.473711741719995,1.1354148601754905,1.0,1.342277080786831,1.342277080786831,0.05306023092268795,999996.6741353499,
2015-03-06,-19.23692892231628,0.2773614192176074,1.0,0.33625384224143784,0.33625384224143784,-1.0259579640349559,999995.6481773859,
2015-03-09,-19.97419428862323,-0.5661651622452906,1.0,0.8460263065394417,0.8460263065394417,-0.24867297086870005,999995.399504415,
2015-03-10,-20.11697473112546,-0.7346104567109568,1.0,1.2916294085761644,1.2916294085761644,-0.1214644150692828,999995.2780399999,
2015-03-11,-19.233546318707944,0.768127194931357,1.0,1.3284508385394962,1.3284508385394962,1.1410068857052704,999996.4190468856,
2015-03-12,-18.422654244728,1.8550250566289515,1.0,2.0,2.0,1.0762229319014958,999997.4952698174,
2015-03-13,-18.34498558497632,1.7292302700020585,1.0,2.0,2.0,0.15533731950336005,999997.6506071369,
2015-03-16,-18.889597860693897,0.8923253602676526,1.0,1.2426144888841926,1.2426144888841926,-1.0903606297018251,999996.5602465072,
2015-03-17,-18.95228003416402,0.7411506584322749,1.0,1.0183730293781714,1.0183730293781714,-0.07822613913798547,999996.482020368,
2015-03-18,-18.794629850372573,0.8777301732239438,1.0,1.1829937026132704,1.1829937026132704,0.16029976423986808,999996.6423201322,
2015-03-19,-18.604475073640344,1.0275418311309168,1.0,1.3546107676259247,1.3546107676259247,0.22469447779853974,999996.86701461,
2015-03-20,-18.626115371089128,0.9078271523242298,1.0,1.231108668897782,1.231108668897782,-0.029499433086842154,999996.8375151769,
2015-03-23,-18.722831793424056,0.698149569516051,1.0,0.9930087940063754,0.9930087940063754,-0.11942557577364678,999996.718089601,
2015-03-24,-17.429978058273406,2.1840989210425095,1.0,2.0,2.0,1.2823046415595951,999998.0003942426,
2015-03-25,-16.829305901874093,2.4371827573958464,1.0,2.0,2.0,1.201344312798625,999999.2017385553,
2015-03-26,-16.975350900179187,1.9387402348816467,1.0,2.0,2.0,-0.2920899966101871,999998.9096485587,
2015-03-27,-17.227787347230638,1.5007035613875357,1.0,1.6372682867844122,1.6372682867844122,-0.505416991672726,999998.404231567,
2015-03-30,-18.270513589206416,0.2926222549691725,1.0,0.3352070521415272,0.3352070521415272,-1.709175699636795,999996.6950558674,
2015-03-31,-18.77503217820548,-0.2916834500573411,1.0,0.3348335204406675,0.3348335204406675,-0.1691187492665296,999996.5259371182,
2015-04-01,-19.10430491440743,-0.6289986353538092,1.0,0.7140923537961238,0.7140923537961238,-0.11082043769766349,999996.4151166806,
2015-04-02,-18.48550434878775,0.0741896175637163,1.0,0.08423109789285407,0.08423109789285407,0.4409359605498747,999996.8560526411,
2015-04-06,-18.28516878915449,0.25143952606259007,1.0,0.2898850582155079,0.2898850582155079,0.016566003194404818,999996.8726186443,
2015-04-07,-17.981011402042157,0.5272648537623356,1.0,0.6578659217596604,0.6578659217596604,0.08761871057441929,999996.9602373549,
2015-04-08,-17.713753203676212,0.807514448341836,1.0,1.1446255323155028,1.1446255323155028,0.17508992160000422,999997.1353272764,
2015-04-09,-18.781776262844616,-0.7657908542213433,1.0,1.1257616792940546,1.1257616792940546,-1.222514758405398,999995.9128125181,
2015-04-10,-19.05181500280265,-1.0814389964999576,1.0,1.5398340282851644,1.5398340282851644,-0.3046203738930915,999995.6081921442,
2015-04-13,-18.808588654163522,-0.6928189800800679,1.0,0.9734342907649319,0.9734342907649319,0.3736786086037975,999995.9818707528,
2015-04-14,-19.402802154953093,-1.430570705001204,1.0,1.9276887686165163,1.9276887686165163,-0.5798591794208212,999995.4020115733,
2015-04-15,-18.958856939811092,-0.8315920465865493,1.0,1.1201348553657713,1.1201348553657713,0.8545768742404029,999996.2565884476,
2015-04-16,-18.53151033945432,-0.2759720357435726,1.0,0.37483133177702554,0.37483133177702554,0.4775678670963021,999996.7341563147,
2015-04-17,-18.484804765558998,-0.22122687796440052,1.0,0.30124384732724585,0.30124384732724585,0.017396331237919713,999996.7515526459,
2015-04-20,-18.936832051040774,-0.804656941438135,1.0,1.0810029499718656,1.0810029499718656,-0.13734007722938849,999996.6142125687,
2015-04-21,-18.960348190065396,-0.8112348004385859,1.0,1.0778026153176656,1.0778026153176656,-0.025425816159546092,999996.5887867525,
2015-04-22,-18.938055425765242,-0.7017302442129013,1.0,0.9600818878999557,0.9600818878999557,0.023850618574239743,999996.6126373712,
