Date,Spread,ZScore,Signal,PositionSize,Exposure,PnL,Capital,Event
2015-01-05,33.48495591310553,0.0,0.0,0.0,0.0,-0.0,1000000.0,
2015-01-06,32.97259050574894,0.0,0.0,0.0,0.0,-0.0,1000000.0,
2015-01-07,33.58425158577627,0.0,0.0,0.0,0.0,0.0,1000000.0,
2015-01-08,34.67828966158989,0.0,0.0,0.0,0.0,0.0,1000000.0,
2015-01-09,34.28991991248722,0.0,0.0,0.0,0.0,-0.0,1000000.0,
2015-01-12,33.78522402015324,0.0,0.0,0.0,0.0,-0.0,1000000.0,
2015-01-13,33.51060975221686,0.0,0.0,0.0,0.0,-0.0,1000000.0,
2015-01-14,33.23777300086613,0.0,0.0,0.0,0.0,-0.0,1000000.0,
2015-01-15,33.08133702472521,0.0,0.0,0.0,0.0,-0.0,1000000.0,
2015-01-16,34.03180225821124,0.0,0.0,0.0,0.0,0.0,1000000.0,
2015-01-20,34.506673159989404,0.0,0.0,0.0,0.0,0.0,1000000.0,
2015-01-21,33.61944887492637,0.0,0.0,0.0,0.0,-0.0,1000000.0,
2015-01-22,34.60827694231449,0.0,0.0,0.0,0.0,0.0,1000000.0,
2015-01-23,34.697245810961526,0.0,0.0,0.0,0.0,0.0,1000000.0,
2015-01-26,34.18212724703911,0.0,0.0,0.0,0.0,-0.0,1000000.0,
2015-01-27,30.253196612090747,0.0,0.0,0.0,0.0,-0.0,1000000.0,
2015-01-28,29.15747743812199,0.0,0.0,0.0,0.0,-0.0,1000000.0,
2015-01-29,29.905138263884812,0.0,0.0,0.0,0.0,0.0,1000000.0,
2015-01-30,28.62034559346405,-2.3102670622218335,0.0,1.218160104383644,0.0,-0.0,1000000.0,
2015-02-02,29.14205724843533,-1.7509638636999525,0.0,0.8456698683025194,0.0,0.0,1000000.0,
2015-02-03,29.207839993942592,-1.5147577953518652,0.0,0.6857945687270107,0.0,0.0,1000000.0,
2015-02-04,29.205202329293606,-1.357073624885449,0.0,0.5827985071391641,0.0,-0.0,1000000.0,
2015-02-05,28.66417008681487,-1.4103785371422783,0.0,0.5757296461807376,0.0,-0.0,1000000.0,
2015-02-06,29.276884151766566,-1.049690324803192,0.0,0.42835974329770654,0.0,0.0,1000000.0,
2015-02-09,29.211008802526052,-0.9741702658052739,0.0,0.3980431266413918,0.0,-0.0,1000000.0,
2015-02-10,29.41628910648113,-0.8045900287033695,0.0,0.330211485691536,0.0,0.0,1000000.0,
2015-02-11,29.15879901457014,-0.823087644156544,0.0,0.33867641265086135,0.0,-0.0,1000000.0,
2015-02-12,29.650615963435936,-0.5535899400880054,0.0,0.23056443053044318,0.0,0.0,1000000.0,
2015-02-13,30.24851014731932,-0.25052799838363654,0.0,0.10644412402868791,0.0,0.0,1000000.0,
2015-02-17,30.35814628093817,-0.13279657072815954,0.0,0.05951184516487582,0.0,0.0,1000000.0,
2015-02-18,30.384397054001504,-0.03136972948049569,0.0,0.015385120778686577,0.0,0.0,1000000.0,
2015-02-19,30.40476622172081,0.061730153407558955,0.0,0.03252998839805822,0.0,0.0,1000000.0,
2015-02-20,30.714908738810653,0.3865952128128681,0.0,0.24030110746835612,0.0,0.0,1000000.0,
2015-02-23,30.964725633341903,0.871234195277791,0.0,0.7171696591318009,0.0,0.0,1000000.0,
2015-02-24,30.79751166790106,1.4632094513421452,0.0,2.0,0.0,-0.0,1000000.0,
2015-02-25,30.734473137747038,1.2972375577787782,0.0,1.7289718973846677,0.0,-0.0,1000000.0,
2015-02-26,30.840997243210488,1.2878891234759346,0.0,1.6658918479842464,0.0,0.0,1000000.0,
2015-02-27,30.59076652019598,0.8991817970956737,0.0,1.1369369466438366,0.0,-0.0,1000000.0,
2015-03-02,30.38556090832156,0.5645846108817953,0.0,0.7631589828536546,0.0,-0.0,1000000.0,
2015-03-03,30.03040035862038,0.025358920150698204,0.0,0.035525678037510056,0.0,-0.0,1000000.0,
2015-03-04,30.048812347328507,-0.008042059874750433,0.0,0.011684814262830166,0.0,0.0,1000000.0,
2015-03-05,30.25363409743202,0.22269332568673236,0.0,0.33767229701123375,0.0,0.0,1000000.0,
2015-03-06,29.746145714359468,-0.7228512873068543,0.0,1.2599140091850498,0.0,-0.0,1000000.0,
2015-03-09,30.145148447394348,-0.11055818836272435,0.0,0.20670746127045744,0.0,0.0,1000000.0,
2015-03-10,29.461840141849702,-1.4722059725125316,0.0,2.0,0.0,-0.0,1000000.0,
2015-03-11,29.603616283270444,-1.247749594475397,0.0,2.0,0.0,0.0,1000000.0,
2015-03-12,28.961410550583217,-2.40139973305687,0.0,2.0,0.0,-0.0,1000000.0,
2015-03-13,29.29465421647412,-1.6485371823056512,0.0,2.0,0.0,0.0,1000000.0,
2015-03-16,29.426620511520717,-1.2720430863177634,0.0,2.0,0.0,0.0,1000000.0,
