Date,Spread,ZScore,Signal,PositionSize,Exposure,PnL,Capital,Event
2015-02-02,23.987944215623827,0.9324490605346566,1.0,1.238731932627458,1.238731932627458,-0.001858097898941187,999999.9981419021,Entry
2015-02-10,24.101313228363306,0.7874261676365809,0.0,1.2500632179920903,0.0,0.1308861157970937,999999.5062759884,Exit
2015-02-11,24.028425774148193,0.6016335531560383,1.0,1.0600582470384907,1.0600582470384907,-0.0015900873705577362,999999.504685901,Entry
2015-02-12,24.3320711700771,1.0599246664933706,0.0,2.0,0.0,0.32029171875914786,999999.8249776198,Exit
2015-02-23,23.83544915162745,-0.24858504540204943,1.0,0.5748469168249104,0.5748469168249104,-0.0008622703752373656,999999.8241153494,Entry
2015-02-25,24.395208882677217,1.0125258606759395,0.0,2.0,0.0,0.17019500384255676,1000000.0894342413,Exit
2015-04-14,24.082617372362108,-1.6291833639038413,1.0,2.0,2.0,-0.003,1000000.0864342413,Entry
2015-04-15,24.163883741999534,-1.3208256098079618,0.0,2.0,0.0,0.15953273927485168,1000000.2459669806,Exit
2015-04-16,24.086253826683215,-1.3147295789700681,1.0,2.0,2.0,-0.003,1000000.2429669806,Entry
2015-04-20,24.47881985829311,-0.3715730154739531,0.0,0.6786809149053358,0.0,1.26907966913835,1000001.0250990437,Exit
2015-06-29,23.9868215507756,-2.2092064779145018,1.0,2.0,2.0,-0.003,1000001.0220990437,Entry
2015-07-07,24.367526271590698,0.06245350728121237,0.0,0.22089756692677015,0.0,0.8402188528109563,1000001.7805084854,Exit
2015-07-08,24.026601780194287,-1.0642225525643423,1.0,2.0,2.0,-0.003,1000001.7775084854,Entry
2015-07-09,24.242774985752177,-0.24906142371360496,0.0,0.9064024986629837,0.0,0.4293464111157804,1000002.2068548965,Exit
2017-12-14,43.77037713441308,1.7063971670859546,-1.0,2.0,-2.0,-0.003,1000002.2038548965,Entry
2017-12-27,43.45052449373889,0.3082948296316093,0.0,0.3002433260374293,0.0,0.30991712041249175,1000002.1067334835,Exit
2018-01-02,43.85526889509158,0.5365850961848992,-1.0,0.6685573690991161,-0.6685573690991161,-0.0010028360536486743,1000002.1057306475,Entry
2018-02-05,42.910080392797795,-2.554165807692702,0.0,1.9944146402925347,0.0,2.3628608061436642,1000000.6996154517,Exit
2018-02-06,44.07659692520983,-1.5476899032034785,-1.0,1.1599232042424037,-1.1599232042424037,-0.0017398848063636056,1000000.6978755669,Entry
2018-02-07,42.52640705351233,-2.245237079056092,0.0,1.448161497145295,0.0,1.7963613183571185,1000002.4942368852,Exit
2018-02-15,44.073403025176276,-0.4257761642046648,-1.0,0.1800593226294444,-0.1800593226294444,-0.00027008898394416663,1000002.4939667962,Entry
2018-03-01,43.319131721606645,-0.49961072661568445,0.0,0.301686644808159,0.0,0.2979574407456716,1000003.227022057,Exit
2018-03-02,43.86077437349805,-0.08280703445919528,-1.0,0.05501240114072456,-0.05501240114072456,-8.251860171108684e-05,1000003.2269395385,Entry
2018-03-22,43.121862073559,-1.6835311378170164,0.0,1.0918552607048169,0.0,0.8049807275298865,1000004.4454489644,Exit
2018-03-26,43.715816005574354,-0.9332056535275071,-1.0,0.5256402708459522,-0.5256402708459522,-0.0007884604062689284,1000004.444660504,Entry
2018-03-27,41.68839899698588,-1.7917230278747855,0.0,0.9152564837446504,0.0,1.0649035651058658,1000005.5095640691,Exit
2018-04-17,44.69096746100132,1.6845443100488717,-1.0,1.6807788902961225,-1.6807788902961225,-0.002521168335444184,1000005.5070429008,Entry
2018-04-24,42.35357318339261,-0.7087844173917227,0.0,0.60987768944493,0.0,2.7318198033324848,1000007.9766292375,Exit
2018-05-09,43.93586819844798,0.6214791885066774,-1.0,0.5151689963326604,-0.5151689963326604,-0.0007727534944989906,1000007.975856484,Entry
2018-05-15,43.34692884959122,-0.002367413596842942,0.0,0.0018596873488125562,0.0,0.8249588208250611,1000008.4596652907,Exit
2018-06-01,43.73595002248886,0.8025608714349283,-1.0,0.9079111251649332,-0.9079111251649332,-0.0013618666877473998,1000008.458303424,Entry
2018-06-06,43.54957319307755,0.3412338169457889,0.0,0.3529942626982233,0.0,1.0297228842253099,1000008.905299858,Exit
2018-06-14,43.82742198307814,1.0597361203977658,-1.0,1.3744870676194552,-1.3744870676194552,-0.002061730601429183,1000008.9032381274,Entry
2018-06-25,43.41273633102016,-0.1598317215029108,0.0,0.18655347586824084,0.0,1.0201055980891305,1000009.2342736991,Exit
2018-07-11,43.89936421367494,0.5889076674960224,-1.0,0.8794455483525024,-0.8794455483525024,-0.0013191683225287536,1000009.2329545307,Entry
2018-08-17,43.34408003144324,-1.569411709261949,0.0,1.0434913469419926,0.0,0.5877199329102928,1000006.8921398545,Exit
2020-03-11,22.619120221214587,-2.3772582115369274,1.0,1.0404692072214992,1.0404692072214992,-0.0015607038108322489,1000006.8905791506,Entry
2020-03-13,24.322373908528448,-1.2383696166120528,0.0,0.5031898355020246,0.0,0.8903402514263142,1000008.339320879,Exit
2020-03-16,21.884326973476796,-1.9025715228450542,1.0,0.7115008513917034,0.7115008513917034,-0.0010672512770875551,1000008.3382536276,Entry
2020-05-01,24.391319892041146,2.2644704580050528,0.0,0.8753049611496583,0.0,0.769600561753569,1000016.4668141083,Exit
2020-05-04,22.482724846986812,1.389383103421899,1.0,0.5089255699866909,0.5089255699866909,-0.0007633883549800364,1000016.46605072,Entry
2020-05-07,25.261656543488485,1.7015012382923027,0.0,0.49278412655724374,0.0,0.6711996026129131,1000017.8127778866,Exit
2020-05-11,23.653384270214396,0.9986687946980141,1.0,0.26504603685371425,0.26504603685371425,-0.00039756905528057137,1000017.8123803176,Entry
2020-05-21,24.531925878689158,0.7036974827406595,0.0,0.25213324225396455,0.0,0.15067323542328992,1000017.6511715328,Exit
2020-07-24,17.7554688868532,-3.601710876260692,1.0,1.2156071664543528,1.2156071664543528,-0.0018234107496815292,1000017.6493481221,Entry
2021-02-03,30.20997246032968,2.486249935188777,0.0,0.4388532080930555,0.0,2.512401873913862,1000021.1977706368,Exit
2021-04-07,43.84283280016018,2.1306034796000253,-1.0,0.7860678246413296,-0.7860678246413296,-0.0011791017369619944,1000021.196591535,Entry
2021-04-08,43.675177850516846,1.7833036005974383,0.0,0.5971707048695641,0.0,0.13060905981952622,1000021.3272005948,Exit
2021-04-09,45.17903705683324,1.9302632780983329,-1.0,0.5761186556739235,-0.5761186556739235,-0.0008641779835108853,1000021.3263364169,Entry
2021-08-03,42.39157199572912,-2.379934297693102,0.0,0.44402213232332866,0.0,1.4449148353538823,1000026.5254388545,Exit
2021-08-06,45.169158856748666,-1.0968401443722064,-1.0,0.14789021040093772,-0.14789021040093772,-0.0002218353156014066,1000026.5252170191,Entry
2021-10-21,43.25509937813091,-2.1888569320100313,0.0,0.7973839638447217,0.0,1.4809705808705051,1000028.6265902786,Exit
2021-10-27,44.441013811565156,-0.49042193076203955,-1.0,0.10484067299630204,-0.10484067299630204,-0.00015726100949445306,1000028.6264330175,Entry
2021-11-01,39.363646789275094,-1.3774285947362874,0.0,0.2885252779419162,0.0,0.6109154655038863,1000028.9671857497,Exit
2021-11-16,22.124363975116395,-1.636267795832854,1.0,0.20326801775706899,0.20326801775706899,-0.00030490202663560346,1000028.9668808477,Entry
2021-12-06,27.949083961154813,1.2324318489764772,0.0,0.2275779881603646,0.0,0.13230515725888006,1000029.3647561647,Exit
2021-12-21,24.078659216518957,-0.017014103011995903,1.0,0.0022724252458008235,0.0022724252458008235,-3.4086378687012353e-06,1000029.3647527561,Entry
2021-12-22,27.09698868360023,0.35119927999567485,0.0,0.04686820410393761,0.0,0.0068555194432713285,1000029.3716082756,Exit
2021-12-27,19.538815896377514,-0.8361363511739077,1.0,0.12244457292120939,0.12244457292120939,-0.00018366685938181408,1000029.3714246087,Entry
2021-12-30,25.105849894708967,-0.3215719417238226,0.0,0.06791464516765075,0.0,0.2506638146838858,1000030.2621041635,Exit
2022-01-03,19.97405887282882,-1.5168056472065317,1.0,0.3359182877949232,0.3359182877949232,-0.0005038774316923849,1000030.2616002861,Entry
2022-01-04,24.13290095112427,-0.5498067095265523,0.0,0.12094719031818887,0.0,1.3965272327187952,1000031.6581275188,Exit
2022-01-06,24.080807919271777,-0.4817368894809908,1.0,0.10489312298066586,0.10489312298066586,-0.00015733968447099878,1000031.6579701791,Entry
2022-01-07,27.035606384237127,0.24132768275486893,0.0,0.05589579591964523,0.0,0.3097806990842221,1000031.9677508782,Exit
2022-01-28,45.47212922322015,2.4501733125570673,-1.0,0.3774488857856015,-0.3774488857856015,-0.0005661733286784022,1000031.9671847048,Entry
2022-01-31,40.41592041647927,1.4764819887975127,0.0,0.2164999949348031,0.0,1.9078942070750138,1000033.8750789119,Exit
2022-02-02,45.64357054477678,1.831691501871918,-1.0,0.2542593306511653,-0.2542593306511653,-0.00038138899597674794,1000033.8746975228,Entry
2022-02-03,42.505633912585026,1.258429881539596,0.0,0.17317479320680532,0.0,0.7974682787308702,1000034.6721658015,Exit
2022-03-10,43.85931893080276,1.8347810749306925,-1.0,0.5526286026456952,-0.5526286026456952,-0.0008289429039685429,1000034.6713368586,Entry
2022-03-11,43.460349362132305,1.5264124954888494,0.0,0.4473355365336104,0.0,0.2196530523285392,1000034.8909899109,Exit
2022-03-22,44.529586313703675,1.494120096712924,-1.0,0.43935298696675923,-0.43935298696675923,-0.0006590294804501389,1000034.8903308815,Entry
2022-03-23,43.47725717010735,1.0707538704689485,0.0,0.31341985360610125,0.0,0.4616849230307667,1000035.3520158045,Exit
2022-03-31,48.40399344333919,2.789372170638941,-1.0,1.1714012557789941,-1.1714012557789941,-0.0017571018836684913,1000035.3502587026,Entry
2022-04-29,43.565152363034954,-2.162215552957144,0.0,0.9231713364850426,0.0,1.0640345550810921,1000033.8761905936,Exit
2022-06-23,43.85194607608632,1.9192551074660347,-1.0,0.3404421196081638,-0.3404421196081638,-0.0005106631794122457,1000033.8756799304,Entry
2022-07-18,41.920808355342814,-1.1936308347524296,0.0,0.2890742516026809,0.0,0.25745927514794087,1000033.1600628702,Exit
2022-09-07,43.992518981981746,2.5340280940387756,-1.0,1.1847930677768497,-1.1847930677768497,-0.0017771896016652744,1000033.1582856807,Entry
2022-09-08,40.317293324618376,0.7514494355729527,0.0,0.3464304347082361,0.0,4.352604691758071,1000037.5108903724,Exit
2022-09-29,44.468868493306076,1.7815679369980484,-1.0,1.0333473761643772,-1.0333473761643772,-0.001550021064246566,1000037.5093403513,Entry
2022-09-30,43.185372114870404,0.9723970897260646,0.0,0.549924576409598,0.0,1.3247475939087354,1000038.8340879453,Exit
2022-10-03,44.04259737401467,1.3219657416251613,-1.0,0.7107991034531498,-0.7107991034531498,-0.0010661986551797247,1000038.8330217466,Entry
2022-10-27,43.59269598940988,-1.5283476234540014,0.0,0.42069457324927595,0.0,0.4318561764039454,1000037.1677617772,Exit
2022-10-28,44.72922843498044,-1.2785771366007213,-1.0,0.36384446351117006,-0.36384446351117006,-0.0005457666952667551,1000037.1672160105,Entry
2022-11-01,40.62851919710982,-2.1374961974322977,0.0,0.546388374184342,0.0,1.5059871537869625,1000038.7808800655,Exit
2023-02-14,23.311325784930773,-2.0881171249089543,1.0,0.4301816566291309,0.4301816566291309,-0.0006452724849436963,1000038.7802347931,Entry
2023-02-15,26.08537677956653,-1.3695589736245217,0.0,0.26717656332140527,0.0,1.1927005799611547,1000039.9729353731,Exit
